value,node_id,position
783,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:122,298
785,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6944,299
787,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8881,300
789,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8703,301
790,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1926,302
790,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7452,303
792,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4010,304
793,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2564,305
795,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1246,306
797,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6523,307
797,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7793,308
799,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3596,309
799,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:811,310
801,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2652,311
801,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4397,312
803,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2079,313
804,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4371,314
805,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4366,315
807,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5825,316
812,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3674,317
817,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1128,318
817,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8512,319
820,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:943,320
822,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3780,321
822,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5920,322
822,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7296,323
823,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1489,324
823,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4208,325
825,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2831,326
